Name,Size,Color,RPM,Airflow,Noise Level,PWM,Price
Corsair iCUE LINK RX120 3-Pack,120 mm,White,2100 RPM,10.5 - 74.2 CFM,10 - 36 dB,No,$76.98
ARCTIC P12 Slim PWM PST 3-Pack,120 mm,Black,300 - 2100 RPM,42.1 CFM,22.5 dB,Yes,$21.34
ARCTIC P12 PWM PST,120 mm,Black,200 - 1800 RPM,56.3 CFM,,Yes,$9.89
Noctua F12 industrialPPC-3000 PWM,120 mm,Brown / Black,750 - 3000 RPM,109.89 CFM,43.5 dB,Yes,$29.95
Noctua A12x25 PWM,120 mm,Brown,450 - 2000 RPM,49.73 - 60.1 CFM,18.8 - 22.6 dB,Yes,$34.90
ARCTIC P12 Pro Reverse A-RGB,120 mm,Black,500 - 3000 RPM,73 CFM,,Yes,$12.99
Noctua A14 PWM chromax.black.swap,140 mm,Multicolor,300 - 1500 RPM,82.52 CFM,24.6 dB,Yes,$28.95
Noctua NF-A14x25 G2 PWM,140 mm,Brown,1250 - 1500 RPM,74.8 - 91.6 CFM,19.7 - 24.8 dB,Yes,$44.95
Lian Li UNI FAN CL Wireless 3-Pack,120 mm,Black,250 - 2100 RPM,72.3 CFM,30.8 dB,Yes,$54.99
Lian Li Uni Fan SL-Infinity,140 mm,White,200 - 1600 RPM,72.7 CFM,28 dB,Yes,$35.50
ARCTIC P12 Pro A-RGB 3-Pack,120 mm,White,600 - 3000 RPM,77 CFM,,Yes,$29.99
Noctua A14 industrialPPC-3000 PWM,140 mm,Brown / Black,800 - 3000 RPM,158.5 CFM,41.3 dB,Yes,$32.95
ARCTIC P14 Pro A-RGB,140 mm,Black,400 - 2500 RPM,110 CFM,,Yes,$14.49
Thermalright TL-M12R,120 mm,Black,1500 RPM,42.6 CFM,23.2 dB,Yes,$6.56
Thermalright TL-C14C-S,140 mm,Black,1500 RPM,75.8 CFM,26.4 dB,Yes,$7.46
Phanteks T30-120,120 mm,Black,,0 - 101 CFM,0 - 39.7 dB,Yes,$41.98
Noctua A12x15 PWM,120 mm,Brown,450 - 1850 RPM,41.67 - 55.44 CFM,16.8 - 23.9 dB,Yes,$23.95
